mKate,EBFP2,gRNA,uORF,EYFP,cellCount
2371.3737,42169.6503,1,2,452306.7029,106
2371.3737,749.8942,1,2,141708.55,113
2371.3737,7498.9421,1,2,188664.6157,936
2371.3737,74989.4209,1,2,492103.2443,75
26607.2506,13335.2143,1,2,162822.7181,352
26607.2506,133352.1432,1,2,753789.6879,184
26607.2506,1333521.432,1,2,3066664.245,138
26607.2506,2371.3737,1,2,163098.9395,31
26607.2506,23713.7371,1,2,145628.6576,502
26607.2506,237137.3706,1,2,1234088.386,199
26607.2506,2371373.706,1,2,3178161.033,118
26607.2506,4216.965,1,2,157158.4194,67
26607.2506,42169.6503,1,2,249358.7673,406
26607.2506,421696.5034,1,2,1444887.668,182
26607.2506,4216965.034,1,2,1473677.229,38
26607.2506,7498.9421,1,2,134966.4606,156
26607.2506,74989.4209,1,2,447805.3046,235
26607.2506,749894.2093,1,2,2034055.413,212
298538.2619,133352.1432,1,2,1384159.591,231
298538.2619,1333521.432,1,2,15758042.86,26
298538.2619,23713.7371,1,2,449627.5967,25
298538.2619,237137.3706,1,2,2459989.092,168
298538.2619,2371373.706,1,2,19055334.34,37
298538.2619,42169.6503,1,2,730573.4037,48
298538.2619,421696.5034,1,2,3331298.438,101
298538.2619,4216965.034,1,2,9606787.841,22
298538.2619,74989.4209,1,2,945448.5152,147
298538.2619,749894.2093,1,2,13751300.5,35
3349.6544,133.3521,1,2,182796.2053,22
3349.6544,1333.5214,1,2,165932.4644,119
3349.6544,13335.2143,1,2,218226.711,428
3349.6544,133352.1432,1,2,560907.0423,56
3349.6544,2371.3737,1,2,182448.8971,307
3349.6544,23713.7371,1,2,283763.3586,203
3349.6544,237137.3706,1,2,634942.2952,36
3349.6544,421.6965,1,2,169760.1844,53
3349.6544,4216.965,1,2,185377.3771,567
3349.6544,42169.6503,1,2,421473.9345,145
3349.6544,749.8942,1,2,149508.6405,56
3349.6544,7498.9421,1,2,191415.7602,701
3349.6544,74989.4209,1,2,421685.3611,83
37583.7404,13335.2143,1,2,141802.1362,290
37583.7404,133352.1432,1,2,623369.538,216
37583.7404,1333521.432,1,2,4005643.875,163
37583.7404,2371.3737,1,2,111116.0908,22
37583.7404,23713.7371,1,2,180046.2455,512
37583.7404,237137.3706,1,2,1070737.353,220
37583.7404,2371373.706,1,2,3552802.666,144
37583.7404,4216.965,1,2,122415.9041,34
37583.7404,42169.6503,1,2,218830.0077,462
37583.7404,421696.5034,1,2,1607220.931,240
37583.7404,4216965.034,1,2,3166184.155,77
37583.7404,7498.9421,1,2,138439.0361,157
37583.7404,74989.4209,1,2,333584.8807,329
37583.7404,749894.2093,1,2,1960060.349,242
421696.5034,133352.1432,1,2,2004191.641,97
421696.5034,237137.3706,1,2,1788240.416,125
421696.5034,2371373.706,1,2,38646036.75,21
421696.5034,42169.6503,1,2,1499889.872,32
421696.5034,421696.5034,1,2,3795873.924,62
421696.5034,74989.4209,1,2,1851955.074,52
4731.5126,1333.5214,1,2,189805.5773,73
4731.5126,13335.2143,1,2,186654.8788,335
4731.5126,133352.1432,1,2,587263.6152,79
4731.5126,2371.3737,1,2,173568.751,159
4731.5126,23713.7371,1,2,224256.8007,228
4731.5126,237137.3706,1,2,476898.406,45
4731.5126,421.6965,1,2,147033.9663,26
4731.5126,4216.965,1,2,192553.4559,281
4731.5126,42169.6503,1,2,384059.1535,163
4731.5126,421696.5034,1,2,825080.0601,28
4731.5126,749.8942,1,2,200161.6693,30
4731.5126,7498.9421,1,2,176479.138,420
4731.5126,74989.4209,1,2,579308.7793,113
53088.4444,13335.2143,1,2,170809.7587,202
